itemCode,product,qty,barcode
GCMR02,GENOSYS SKIN DEFENDER LIP & EYE MAKEUP REMOVER -200ml,70,8809975190530
GCMA10,GENOSYS SOOTHING BOMB SEA ALAGE MASK(HOMECARE),15,8809579274179
GCMA14,GENOSYS SKIN REBOOT PDRN MASK PACK,90,8809849807809
GCPS02,GENOSYS SWS POWER SOLUTION,30,8809046298653
GCPS05,GENOSYS CTS POWER SOLUTION,20,8809046298677
GCSE13,GENOSYS MULTI FUNCTIONAL ANTI-WRINKLE SERUM -30ml,20,8809579274704
GCSE14,GENOSYS MULTI VITA RADIANCE SERUM -30ml,20,8809639178614
GCSE03,GENOSYS PROBLEM CONTROL SERUM -30ml,20,8809205624873
GCSE17,GENOSYS MOISTURE REPLENISHING HYALURON SERUM -30ml,60,8809639178775
GCSE05,GENOSYS ALL FOR SENSITIVE SERUM -30ml,20,8809392232035
GCCR44,GENOSYS PROBLEM CONTROL CREAM -50g,50,8800250592247
GCCR23,GENOSYS SKIN BARRIER PROTECTING CREAM -100g,20,8809392232066
GCCR09,GENOSYS MULTI SUN CREAM (SPF40 PA++)-40g,50,8809205627386
GCCR37,GENOSYS ULTRA SHIELD SUN CREAM (SPF50+ PA++++) -50g,230,8809849803436
GCCR46,GENOSYS REVITA GLOW BB CREAM #01 BRIGHT -50g,20,8809783013113
GCCR47,GENOSYS REVITA GLOW BB CREAM #02 NATURAL -50g,40,8809783013120
GCCR07,GENOSYS SOOTHING REPAIR POSTCREAM -20g*12pcs,7,8809046298684
GCFO02,GENOSYS Cushion + Refill / Color: #02 BEIGE,100,8809639176368
GCFO03,GENOSYS Cushion + Refill / Color: #03 CAMEL,110,8800250590366
GCHR18,GENOSYS HR3 MATRIX HAIR SOLUTION ALPHA (PROFESSIONAL),25,8809518823871
